"","gene","score_avg","rank_avg"
"8394","KRT33A",-0.108,1616.6
"8395","KRT33B",-0.126666666666667,1816
"8396","KRT34",-0.08,1226.8
"8397","KRT35",-0.23,2467.66666666667
"8398","KRT36",-0.385714285714286,3835.14285714286
"8399","KRT37",-0.286666666666667,3655.33333333333
"8400","KRT38",-0.213333333333333,2674.33333333333
"8401","KRT39",-0.1675,2442.75
"8402","KRT4",-0.2175,3015.5
"8403","KRT40",-0.1625,2178.75
"8404","KRT5",-0.885714285714286,7889.14285714286
"8405","KRT6A",-1.38333333333333,9883.33333333333
"8406","KRT6B",-0.53125,4560.125
"8407","KRT6C",-0.274,3182.4
"8408","KRT7",-1.243,7932.5
"8409","KRT71",-0.555,4623.5
"8410","KRT72",-1.12,9290.11111111111
"8411","KRT73",-1.12666666666667,8550
"8412","KRT74",-0.201666666666667,2734.33333333333
"8413","KRT75",-0.08,1130.25
"8414","KRT76",-0.2,2689.5
"8415","KRT77",-0.143333333333333,1848
"8416","KRT78",-0.98,11200.5
"8417","KRT79",-0.278333333333333,2856.33333333333
"8418","KRT8",-1.72,10938.9
"8419","KRT80",-0.42,4237.66666666667
"8420","KRT81",-3.257,14604.6
"8421","KRT82",-0.333333333333333,3194
"8422","KRT83",-0.477142857142857,3980.85714285714
