"","min_2","max_other","target_score","gene","rank"
"CACNG4",0,0.01,-0.01,"CACNG4",484
"OTOP2",0,0.01,-0.01,"OTOP2",485
"TMEM105",0,0.01,-0.01,"TMEM105",486
"SERPINB3",0,0.01,-0.01,"SERPINB3",487
"TCF15",0,0.01,-0.01,"TCF15",488
"AVP",0,0.01,-0.01,"AVP",489
"BANF2",0,0.01,-0.01,"BANF2",490
"DEFB118",0,0.01,-0.01,"DEFB118",491
"REM1",0,0.01,-0.01,"REM1",492
"MYLK2",0,0.01,-0.01,"MYLK2",493
"BPIFA2",0,0.01,-0.01,"BPIFA2",494
"BPIFA1",0,0.01,-0.01,"BPIFA1",495
"RIMS4",0,0.01,-0.01,"RIMS4",496
"SPATA25",0,0.01,-0.01,"SPATA25",497
"CHRNA4",0,0.01,-0.01,"CHRNA4",498
"FGF22",0,0.01,-0.01,"FGF22",499
"RAX2",0,0.01,-0.01,"RAX2",500
"MBD3L3",0,0.01,-0.01,"MBD3L3",501
"PRR36",0,0.01,-0.01,"PRR36",502
"CALR3",0,0.01,-0.01,"CALR3",503
"GDF1",0,0.01,-0.01,"GDF1",504
"ZNF676",0,0.01,-0.01,"ZNF676",505
"RGS9BP",0,0.01,-0.01,"RGS9BP",506
"SYCN",0,0.01,-0.01,"SYCN",507
"TMEM145",0,0.01,-0.01,"TMEM145",508
"TPRX1",0,0.01,-0.01,"TPRX1",509
"CGB1",0,0.01,-0.01,"CGB1",510
"CGB5",0,0.01,-0.01,"CGB5",511
"KLK7",0,0.01,-0.01,"KLK7",512
"KLK8",0,0.01,-0.01,"KLK8",513
"KLK10",0,0.01,-0.01,"KLK10",514
"CEACAM18",0,0.01,-0.01,"CEACAM18",515
"ERVV.1",0,0.01,-0.01,"ERVV.1",516
"FAM71E2",0,0.01,-0.01,"FAM71E2",517
"IL11",0,0.01,-0.01,"IL11",518
"SBK2",0,0.01,-0.01,"SBK2",519
"DUXA",0,0.01,-0.01,"DUXA",520
"RBMY1F",0,0.01,-0.01,"RBMY1F",521
"BPY2C",0,0.01,-0.01,"BPY2C",522
"ISX",0,0.01,-0.01,"ISX",523
"GALR3",0,0.01,-0.01,"GALR3",524
"CLDN8",0,0.01,-0.01,"CLDN8",525
"TFF2",0,0.01,-0.01,"TFF2",526
"KRTAP10.1",0,0.01,-0.01,"KRTAP10.1",527
"CBLB",4.39,4.4,-0.0100000000000007,"CBLB",528
"TCEAL5",0.01,0.03,-0.02,"TCEAL5",529
"GRIN2A",0.01,0.03,-0.02,"GRIN2A",530
"OR7D2",0.01,0.03,-0.02,"OR7D2",531
"AADACL4",0,0.02,-0.02,"AADACL4",532
"PRAMEF12",0,0.02,-0.02,"PRAMEF12",533
