"","min_2","max_other","target_score","gene","rank"
"TMEM95",0,0,0,"TMEM95",547
"CHST9",0,0,0,"CHST9",548
"C11orf94",0.02,0.02,0,"C11orf94",549
"CYS1",0,0,0,"CYS1",550
"CLEC2L",0,0,0,"CLEC2L",551
"ASIC2",0,0,0,"ASIC2",552
"LENEP",0,0,0,"LENEP",553
"OR8K5",0,0,0,"OR8K5",554
"OR5I1",0,0,0,"OR5I1",555
"FAM189A1",0,0,0,"FAM189A1",556
"RIMS2",0,0,0,"RIMS2",557
"ZNF488",0,0,0,"ZNF488",558
"ST8SIA2",0,0,0,"ST8SIA2",559
"MYOZ1",0,0,0,"MYOZ1",560
"ARL13A",0,0,0,"ARL13A",561
"ANGPTL5",0,0,0,"ANGPTL5",562
"GADL1",0,0,0,"GADL1",563
"PANX3",0,0,0,"PANX3",564
"HCRTR2",0,0,0,"HCRTR2",565
"SPANXN4",0,0,0,"SPANXN4",566
"GKN1",0,0,0,"GKN1",567
"EN1",0,0,0,"EN1",568
"AGT",0,0,0,"AGT",569
"MS4A13",0,0,0,"MS4A13",570
"TCF21",0,0,0,"TCF21",571
"JPH2",0,0,0,"JPH2",572
"ESPNL",0,0,0,"ESPNL",573
"OVCH2",0,0,0,"OVCH2",574
"FAM131C",0,0,0,"FAM131C",575
"GALNT9",0,0,0,"GALNT9",576
"NPY",0,0,0,"NPY",577
"SLC9A2",0,0,0,"SLC9A2",578
"ZNF536",0,0,0,"ZNF536",579
"MAPK8IP2",0,0,0,"MAPK8IP2",580
"PRRX2",0,0,0,"PRRX2",581
"HIGD1C",0,0,0,"HIGD1C",582
"GPR21",0,0,0,"GPR21",583
"IRX4",0,0,0,"IRX4",584
"SPANXN1",0,0,0,"SPANXN1",585
"RTP2",0,0,0,"RTP2",586
"ADAMTS8",0,0,0,"ADAMTS8",587
"SLITRK3",0,0,0,"SLITRK3",588
"TNP2",0,0,0,"TNP2",589
"PRPH",0,0,0,"PRPH",590
"TACR3",0,0,0,"TACR3",591
"MAMDC4",0.43,0.43,0,"MAMDC4",592
"TRIML2",0,0,0,"TRIML2",593
