"","min_2","max_other","target_score","gene","rank"
"TMEM110.MUSTN1",0.03,0.05,-0.02,"TMEM110.MUSTN1",419
"PCP2",0.03,0.05,-0.02,"PCP2",420
"CCDC150",0.06,0.08,-0.02,"CCDC150",421
"SYNCRIP",3.5,3.52,-0.02,"SYNCRIP",422
"ASCC3",2.87,2.89,-0.02,"ASCC3",423
"SNRNP35",2.57,2.59,-0.02,"SNRNP35",424
"ADSS",3.16,3.18,-0.02,"ADSS",425
"SEPHS1",1.53,1.55,-0.02,"SEPHS1",426
"EXOSC7",2.27,2.29,-0.02,"EXOSC7",427
"SNRNP200",3.19,3.21,-0.02,"SNRNP200",428
"SAMM50",2.43,2.45,-0.02,"SAMM50",429
"RANGRF",2.54,2.56,-0.02,"RANGRF",430
"ATF1",2.13,2.15,-0.02,"ATF1",431
"PAFAH1B3",2.27,2.29,-0.02,"PAFAH1B3",432
"TDP2",2.16,2.18,-0.02,"TDP2",433
"PPP2R5D",0.9,0.92,-0.02,"PPP2R5D",434
"PPP6C",2.48,2.5,-0.02,"PPP6C",435
"PHRF1",1.43,1.45,-0.02,"PHRF1",436
"PPP1R11",3.08,3.1,-0.02,"PPP1R11",437
"FBXW9",0.57,0.59,-0.02,"FBXW9",438
"ZNF282",0.5,0.52,-0.02,"ZNF282",439
"LRSAM1",0.66,0.68,-0.02,"LRSAM1",440
"TOX",2.76,2.78,-0.02,"TOX",441
"ARHGAP30",4.17,4.19,-0.0200000000000005,"ARHGAP30",442
"SOD1",5.64,5.66,-0.0200000000000005,"SOD1",443
"NAP1L4",4.24,4.27,-0.0299999999999994,"NAP1L4",444
"POLR1D",4.19,4.22,-0.0299999999999994,"POLR1D",445
"PAIP2",4.82,4.85,-0.0299999999999994,"PAIP2",446
"TIPRL",2.95,2.98,-0.0299999999999998,"TIPRL",447
"HNRNPH3",3.81,3.84,-0.0299999999999998,"HNRNPH3",448
"ASNA1",3.35,3.38,-0.0299999999999998,"ASNA1",449
"COMMD4",2.56,2.59,-0.0299999999999998,"COMMD4",450
"DENND1C",2.27,2.3,-0.0299999999999998,"DENND1C",451
"ACTL6A",2.14,2.17,-0.0299999999999998,"ACTL6A",452
"VPS26A",2.62,2.65,-0.0299999999999998,"VPS26A",453
"LRRC8A",0.79,0.82,-0.0299999999999999,"LRRC8A",454
"PARD6G",0.55,0.58,-0.0299999999999999,"PARD6G",455
"ASTN2",0.39,0.42,-0.03,"ASTN2",456
"NPIPA5",0,0.03,-0.03,"NPIPA5",457
"FAM71E1",0,0.03,-0.03,"FAM71E1",458
"XKR4",0,0.03,-0.03,"XKR4",459
"FRMD6",0,0.03,-0.03,"FRMD6",460
"CCDC78",0.05,0.08,-0.03,"CCDC78",461
"LRRC39",0,0.03,-0.03,"LRRC39",462
"COL3A1",0,0.03,-0.03,"COL3A1",463
"SIRPD",0,0.03,-0.03,"SIRPD",464
"NEU4",0,0.03,-0.03,"NEU4",465
"DCBLD2",0,0.03,-0.03,"DCBLD2",466
"CRYBB2",0.22,0.25,-0.03,"CRYBB2",467
"MAMDC4",0,0.03,-0.03,"MAMDC4",468
"CYP27B1",0,0.03,-0.03,"CYP27B1",469
"LGI4",0,0.03,-0.03,"LGI4",470
"CELSR2",0,0.03,-0.03,"CELSR2",471
"ALG1L",0,0.03,-0.03,"ALG1L",472
"RDM1",0,0.03,-0.03,"RDM1",473
"STOX1",0,0.03,-0.03,"STOX1",474
"SKA1",0.18,0.21,-0.03,"SKA1",475
"MYH15",0,0.03,-0.03,"MYH15",476
"MYT1L",0,0.03,-0.03,"MYT1L",477
"LRRC6",0,0.03,-0.03,"LRRC6",478
"ATP6V0D2",0,0.03,-0.03,"ATP6V0D2",479
"SYCE2",0,0.03,-0.03,"SYCE2",480
"ALS2CL",0,0.03,-0.03,"ALS2CL",481
"NPW",0,0.03,-0.03,"NPW",482
