"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"238","ACSM6",2523,NA,NA,NA,NA,2663,NA,6023,NA,4597,3951.5
"239","ACSS1",10565,12562,1799,8973,NA,13127,13201,15124,7139,6406,9877.33333333333
"240","ACSS2",13589,13872,10783,16375,13404,16054,13993,15101,10136,12928,13623.5
"241","ACSS3",3148,2856,1284,2010,NA,5546,3341,4260,NA,1345,2973.75
"242","ACTA1",1784,1677,NA,1092,1133,2664,1722,1420,NA,NA,1641.71428571429
"243","ACTA2",927,16092,3006,231,7312,915,12839,11622,1,6333,5927.8
"244","ACTB",12181,10225,727,7959,11944,15870,11630,9489,7687,2574,9028.6
"245","ACTBL2",1269,NA,NA,13144,NA,1821,NA,305,NA,NA,4134.75
"246","ACTC1",NA,3137,NA,4129,2909,4898,NA,1065,NA,2232,3061.66666666667
"247","ACTG1",11531,9517,435,5002,8709,13398,13378,4217,5391,192,7177
"248","ACTG2",9522,6909,2273,12471,14014,158,7866,12577,97,13558,7944.5
"249","ACTL10",7131,9803,7320,8249,6029,4450,11027,14532,4013,NA,8061.55555555556
"250","ACTL6A",2454,11732,2114,119,14697,3959,4520,8602,452,8161,5681
"251","ACTL6B",NA,NA,NA,2789,NA,7559,NA,332,NA,NA,3560
"252","ACTL7A",738,5390,NA,3755,NA,1822,NA,389,NA,NA,2418.8
"253","ACTL7B",1141,693,NA,862,79,159,NA,788,NA,NA,620.333333333333
"254","ACTL8",947,NA,NA,8470,59,3458,NA,9598,NA,NA,4506.4
"255","ACTL9",NA,NA,NA,925,NA,591,NA,199,NA,NA,571.666666666667
"256","ACTN1",15991,16847,13030,17880,14990,16867,15405,16578,11858,13422,15286.8
"257","ACTN2",956,3135,NA,2575,1576,12652,4844,9739,NA,NA,5068.14285714286
"258","ACTN3",2294,3916,NA,284,3616,592,1487,1798,NA,NA,1998.14285714286
"259","ACTN4",11094,5552,207,6833,2167,12297,33,6406,2037,4475,5110.1
"260","ACTR10",5385,7602,3240,7851,6654,5302,636,6399,934,2132,4613.5
"261","ACTR1A",3466,8115,10049,10407,2397,9711,9155,3215,2689,2147,6135.1
"262","ACTR1B",3646,11169,4569,13256,9144,5782,5014,6530,771,2245,6212.6
"263","ACTR2",13650,14242,2493,6655,4327,14716,5140,4169,6135,8608,8013.5
"264","ACTR3",10077,7709,358,5452,8258,11888,3370,3734,1440,2801,5508.7
